Epoch,Top-1 Accuracy
1,18.364312267657994
2,33.15985130111524
3,30.4089219330855
4,38.36431226765799
5,42.52788104089219
6,41.561338289962826
7,44.386617100371744
8,47.43494423791822
9,54.646840148698885
10,54.34944237918216
11,55.985130111524164
12,59.33085501858736
13,62.30483271375465
14,60.89219330855018
15,65.4275092936803
16,59.182156133829
17,63.64312267657993
18,62.00743494423792
19,57.9182156133829
20,58.88475836431227
21,66.09665427509293
22,67.13754646840148
23,61.561338289962826
24,67.28624535315986
25,62.973977695167285
26,69.88847583643123
27,70.55762081784387
28,73.60594795539033
29,65.27881040892193
30,76.28252788104089
31,77.99256505576209
32,73.15985130111524
33,72.63940520446097
34,61.561338289962826
35,75.24163568773234
36,80.29739776951673
37,83.12267657992565
38,80.89219330855019
39,75.98513011152416
40,80.89219330855019
41,84.6096654275093
42,79.70260223048327
43,84.75836431226766
44,82.67657992565056
45,81.41263940520446
46,84.83271375464685
47,85.79925650557621
48,76.80297397769517
49,78.14126394052045
50,79.62825278810409
51,82.30483271375465
52,83.04832713754647
53,85.4275092936803
54,83.04832713754647
55,84.38661710037175
56,84.75836431226766
57,87.73234200743494
58,85.65055762081785
59,86.39405204460967
60,88.3271375464684
61,87.65799256505576
62,86.84014869888476
63,84.68401486988847
64,86.54275092936803
65,86.17100371747212
66,89.36802973977696
67,89.51672862453532
68,91.89591078066914
69,90.48327137546468
70,82.45353159851301
71,90.18587360594796
72,92.26765799256506
73,82.0817843866171
74,82.23048327137546
75,83.49442379182156
76,91.30111524163569
77,90.92936802973978
78,92.63940520446097
79,89.44237918215613
80,92.78810408921933
81,92.56505576208178
82,88.77323420074349
83,92.71375464684014
84,90.70631970260223
85,86.46840148698885
86,86.09665427509293
87,94.27509293680298
88,92.93680297397769
89,86.02230483271376
90,87.21189591078067
91,93.45724907063197
92,93.38289962825279
93,93.68029739776952
94,93.68029739776952
95,88.40148698884758
96,92.34200743494424
97,93.08550185873607
98,91.44981412639405
99,91.74721189591078
100,93.3085501858736
