Epoch,Top-1 Accuracy
1,17.058823529411764
2,34.705882352941174
3,31.764705882352942
4,41.1764705882353
5,41.76470588235294
6,40.588235294117645
7,44.705882352941174
8,48.23529411764706
9,54.705882352941174
10,57.05882352941177
11,55.294117647058826
12,57.05882352941177
13,61.1764705882353
14,60.588235294117645
15,67.05882352941177
16,62.94117647058823
17,62.94117647058823
18,63.529411764705884
19,58.23529411764706
20,56.470588235294116
21,68.82352941176471
22,64.11764705882354
23,61.1764705882353
24,68.23529411764706
25,64.11764705882354
26,71.76470588235294
27,71.17647058823529
28,76.47058823529412
29,65.29411764705883
30,76.47058823529412
31,77.05882352941177
32,75.88235294117646
33,68.82352941176471
34,62.35294117647059
35,74.11764705882354
36,82.94117647058823
37,82.94117647058823
38,80.0
39,74.11764705882354
40,80.58823529411765
41,86.47058823529412
42,77.6470588235294
43,86.47058823529412
44,81.17647058823529
45,78.82352941176471
46,80.0
47,82.94117647058823
48,75.29411764705883
49,74.11764705882354
50,79.41176470588235
51,82.94117647058823
52,78.82352941176471
53,85.88235294117646
54,85.88235294117646
55,80.58823529411765
56,85.29411764705883
57,88.82352941176471
58,81.76470588235294
59,85.29411764705883
60,88.82352941176471
61,86.47058823529412
62,85.88235294117646
63,82.3529411764706
64,81.17647058823529
65,83.52941176470588
66,85.29411764705883
67,87.05882352941177
68,87.05882352941177
69,88.82352941176471
70,82.94117647058823
71,90.58823529411765
72,90.58823529411765
73,84.70588235294117
74,80.0
75,76.47058823529412
76,90.58823529411765
77,88.23529411764706
78,89.41176470588235
79,86.47058823529412
80,91.17647058823529
81,90.0
82,80.58823529411765
83,88.82352941176471
84,89.41176470588235
85,87.6470588235294
86,82.3529411764706
87,92.3529411764706
88,91.76470588235294
89,82.94117647058823
90,84.11764705882354
91,90.0
92,88.82352941176471
93,90.0
94,94.70588235294117
95,85.29411764705883
96,90.0
97,90.0
98,90.0
99,88.23529411764706
100,90.0
