Epoch,Top-1 Accuracy
1,17.397769516728623
2,44.237918215613384
3,43.49442379182156
4,47.360594795539036
5,52.86245353159851
6,57.100371747211895
7,56.57992565055762
8,49.07063197026022
9,61.561338289962826
10,62.37918215613383
11,70.26022304832713
12,66.31970260223048
13,73.23420074349443
14,66.46840148698885
15,74.79553903345725
16,68.17843866171003
17,73.38289962825279
18,74.72118959107807
19,75.76208178438662
20,73.68029739776952
21,60.07434944237918
22,77.1003717472119
23,82.0817843866171
24,82.67657992565056
25,82.23048327137546
26,77.24907063197026
27,81.85873605947955
28,79.25650557620818
29,85.27881040892193
30,84.01486988847584
31,81.7100371747212
32,76.50557620817844
33,83.86617100371747
34,87.95539033457248
35,82.0817843866171
36,82.97397769516729
37,85.65055762081785
38,85.4275092936803
39,84.68401486988847
40,91.15241635687732
41,87.95539033457248
42,83.42007434944237
43,77.39776951672863
44,87.95539033457248
45,90.63197026022304
46,90.85501858736059
47,85.79925650557621
48,90.55762081784387
49,90.63197026022304
50,88.99628252788104
51,93.3085501858736
52,91.74721189591078
53,83.3457249070632
54,88.3271375464684
55,84.68401486988847
56,91.6728624535316
57,93.23420074349443
58,90.40892193308551
59,90.63197026022304
60,93.23420074349443
61,91.89591078066914
62,84.38661710037175
63,93.45724907063197
64,91.30111524163569
65,93.97769516728624
66,91.59851301115242
67,91.59851301115242
68,88.47583643122677
69,90.85501858736059
70,88.40148698884758
71,93.15985130111524
72,92.86245353159852
73,91.82156133828997
74,92.93680297397769
75,93.97769516728624
76,95.53903345724908
77,93.45724907063197
78,92.4907063197026
79,93.45724907063197
80,86.61710037174721
81,93.68029739776952
82,84.1635687732342
83,95.91078066914498
84,93.53159851301115
85,94.5724907063197
86,95.98513011152416
87,95.3903345724907
88,95.16728624535315
89,95.98513011152416
90,96.28252788104089
91,96.6542750929368
92,97.76951672862454
93,96.57992565055763
94,95.76208178438662
95,91.15241635687732
96,98.364312267658
97,97.02602230483271
98,95.76208178438662
99,97.32342007434944
100,96.50557620817844
