Epoch,Accuracy_Top-1
1,15.88235
2,20.0
3,23.52941
4,36.47059
5,44.11765
6,50.58824
7,42.94118
8,46.47059
9,51.76471
10,47.64706
11,60.58824
12,67.05882
13,60.0
14,57.64706
15,64.70588
16,58.82353
17,66.47059
18,65.88235
19,67.05882
20,63.52941
21,56.47059
22,59.41176
23,71.17647
24,68.23529
25,72.94118
26,69.41176
27,69.41176
28,72.35294
29,76.47059
30,75.88235
31,78.82353
32,73.52941
33,78.82353
34,76.47059
35,71.76471
36,60.0
37,81.17647
38,77.64706
39,82.35294
40,75.88235
41,80.0
42,80.58824
43,72.35294
44,80.58824
45,84.11765
46,83.52941
47,80.58824
48,82.94118
49,79.41176
50,87.05882
51,80.0
52,81.17647
53,72.35294
54,78.82353
55,81.17647
56,72.35294
57,82.35294
58,78.82353
59,77.64706
60,84.70588
61,77.05882
62,87.64706
63,85.88235
64,88.23529
65,81.17647
66,87.64706
67,85.88235
68,77.64706
69,86.47059
70,81.76471
71,84.70588
72,82.94118
73,84.11765
74,82.94118
75,79.41176
76,91.17647
77,80.0
78,84.11765
79,85.88235
80,79.41176
81,83.52941
82,89.41176
83,85.29412
84,87.05882
85,85.29412
86,86.47059
87,88.82353
88,84.70588
89,82.94118
90,88.23529
91,88.23529
92,82.94118
93,91.17647
94,86.47059
95,81.76471
96,86.47059
97,85.88235
98,88.23529
99,82.94118
100,85.29412
101,94.11765
102,94.70588
103,94.11765
104,95.29412
105,96.47059
106,95.88235
107,95.88235
108,95.29412
109,97.05882
110,95.88235
111,95.29412
112,96.47059
113,97.64706
114,98.23529
115,95.29412
